Titre;Auteur;Editeur
Charlotte;Foenkinos, David;Editions Gallimard
Le Royaume;Carrère, Emmanuel;POL Editeur
Chanson douce;Slimani, Le‹la;Editions Gallimard
L'amie prodigieuse (Tome 2) - Le nouveau nom;Ferrante, Elena;Editions Gallimard
Article 353 du code pénal;Viel, Tanguy;Minuit
Les jours de ton absence;Walsh, Rosie;Les escales éditions
Les Bourgeois;Ferney, Alice;Editions Actes Sud
Temps glaciaires;Vargas, Fred;Flammarion
Réparer les vivants;Kerangal, Maylis de;Editions Gallimard
Ce qui reste de nos vies;Shalev, Zeruya;Editions Gallimard
La Veille de presque tout;Del Arbol, Victor;Editions Actes Sud
L'ordre du jour;Vuillard, Eric;Editions Actes Sud
La sorcière;Läckberg Camilla;Editions Actes Su
Les mille et une gaffes de l'ange gardien Ariel Auvinen;Paasilinna, Arto;Editions Denoêl
Pour que tu ne te perdes pas dans le quartier;Modiano, Patrick;Editions Gallimard
Culottées. Des femmes qui ne font que ce qu'elles veulent (Tome 2);Bagieu, Pénélope;Gallimard BD
Millénium 4 - Ce qui ne me tue pas;Lagercrantz, David;Editions Actes Sud
Le collier rouge;Rufin, Jean-Christophe;Editions Gallimard
Barbarie 2.0;Japp, Andrea H.;Flammarion
Du sang sur la glace;Nesbo, Jo;Editions Gallimard
Dans la forêt;Hegland, Jean;Editions Gallmeister
L'Art de perdre;Zeniter, Alice;Flammarion
Le beau mystère;Penny, Louise;Editions Actes Sud
Désorientale;Négar Djavadi;Liana Levi
Une famille délicieuse;Marsh, Willa;Autrement
Ils vont tuer Robert Kennedy;Dugain, Marc;Editions Gallimard
Le Garçon qui ne pleurait plus;Schulman, Ninni;Seuil
Attends-moi au ciel;Salem, Carlos;Editions Actes
La Beauté des jours;Gallay, Claudie;Editions Actes Su
Les disparus du phare;May, Peter;Editions du Rouergu
Ne pars pas avant moi;Rouart, Jean-Marie;Editions Gallimard
L'Heure indigo;Harmel, Kristin;Editions Denoël
Les soeurs ennemies;Kellerman, Jonathan;Le Seuil
Fermé pour l'hiver;Horst, Jorn Lier;Editions Gallimard
La terre qui les s‚pare;Matar, Hisham;Editions Gallimard
Dieu, Allah, moi et les autres;Bachi, Salim;Editions Gallimard
Ma mère, cette inconnue;Labro, Philippe;Editions Gallimard
Incident voyageurs;Frioux, Dalibor;Seuil
Hérétiques;Padura Fuentes, Leonardo;Anne-Marie Métailié
Karpathia;Menegoz, Mathias;POL Editeur
Hötel du Grand Cerf;Bartelt, Franz;Le Seuil
Des garçons bien élevés;Parsons, Tony;DLM
Émilie voit quelqu'un - Après la psy, le beau temps ?;Rouquette, Anne;Fluide Glacial
Le Labyrinthe des esprits;Zafon, Carlos ruiz;Actes Sud Littérature
L'anniversaire du roi;Trillard, Marc;Editions Actes Sud
L'écrivain national;Joncour, Serge;Flammarion
Châtiments;McDermid, Val;Flammarion
Rouen 1203;Aillon, Jean d';Flammarion
Un maniaque dans la ville;Kellerman, Jonathan;Seuil
Blind Lake;Wilson, Robert Charles;Editions Gallimard
La Maison des Turner;Flournoy, Angela;Les escales Editions
Sécurité;Wohlsdorf, Gina;Actes Sud Littérature
À son image;Ferrari, Jérôme;Actes Sud Littérature
La délicatesse;Bonin, Cyril;Futuropolis
Les fantômes du vieux pays;Hill, Nathan;Editions Gallimard
Le Temps des regrets;Higgins Clark, Mary;Albin Michel
Dans le jardin de l'ogre;Slimani, Leïla;Editions Gallimard
L'amour et les forêts;Reinhardt Eric;Editions Gallimard
Un secret du docteur Freud;Abécassis, Eliette;Flammarion
La route sombre;Ma, Jian;Flammarion
Sous l'eau;Levy, Deborah;Flammarion
Soleil de nuit;Nesbo, Jo;Editions Gallimard
Un coeur sombre;Ellory, R. J.;Sonatine
Danser dans la poussiŠre;Cook, Thomas H.;Le Seuil
Feu follet;Melo, Patricia;Editions Actes Sud
Une Jeunesse;Modiano, Patrick;Editions Gallimard
Ça aussi, ça passera;Busquets, Milena;Editions Gallimard
Laëtitia ou la fin des hommes;Jablonka, Ivan;Seuil
Les infâmes;Miller, Jax;Ombres Noires
L'ïle Louvre;Chavouet, Florent;Futuropolis
Eugenia;Duroy, Lionel;Julliard
Un moindre mal;Flanagan, Joe;Editions Gallmeister
Idaho;Ruskovich, Emily;Editions Gallmeister
Boussole;Enard, Mathias;Editions Actes Sud
Le prix Nobel;Alexieva, Elena;Editions Actes Sud
La poupée de Kafka;Colin, Fabrice;Editions Actes Sud
Mr Gwyn;Baricco, Alessandro;Editions Gallimard
Les mécanos de Vénus;Lansdale, Joe R.;Editions Denoël
Tombée du ciel;Ahern, Cecelia;Flammarion
Trois fois dès l'aube;Baricco, Alessandro;Editions Gallimard
La Vengeance des mŠres;Ferus, Jim;Le Cherche Midi
Indu Boy;Clément, Catherine;Le Seuil
Le commis;Malamud, Bernard;Rivages
Les Chants de la mort;Gonthier, Nicole;Pygmalion
Landfall;Urbani, Ellen;Editions Gallmeister
La Jeune pouse;Baricco, Alessandro;Editions Gallimard
Les Furies;Groff, Lauren;L'Olivier
Un déluge de feu;Ghosh, Amitav;Robert Laffont
Une illusion d'optique;Penny, Louise;Editions Actes Sud
Sidney Chambers et les périls de la nuit;Runcie, James;Editions Actes Sud
Farallon Islands;Geni, Abby;Editions Actes Sud
Mélodie de Vienne;Lothar, Ernst;Liana Levi
Les filles au lion;Burton, Jessie;Editions Gallimard
Cabaret Biarritz;Vales, José C.;Editions Denoël
La salle de bal;Hope, Anna;Editions Gallimard
L'affaire Collini;Schirach, Ferdinand von;Editions Gallimard
Tarpeia, les venins de Rome;Bouchard, Nicolas;Flammarion
Les Vies multiples d'Amory Clay;Boyd, William;Seuil
A mains nues;Barbato, Paola;Editions Denoël
Il était une ville;Reverdy, Thomas B.;Flammarion
